# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model	Var	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-LMC-HB-0082	RG	05:05:05.46	-70:15:27.1	15.086	16.584	1.498	449.24000000	9047.9000	0.024	0.2040	70.60	24.10	1	OSARG	-99.99	LMC121.5.22054	LMC509.04.28977	-99.99
OGLE-LMC-HB-0083	RG	05:05:09.12	-68:48:36.1	14.370	15.572	1.202	205.45300000	9072.3000	0.065	0.1750	62.40	60.00	1	-99.99	LMC_SC13_30515	LMC118.7.21722	LMC510.12.55826	2MASS J05050911-6848361
OGLE-LMC-HB-0084	MS	05:06:07.24	-68:05:59.7	14.546	14.635	0.089	61.12130000	9003.5700	0.044	0.4370	19.60	1.00	1	-99.99	-99.99	LMC117.7.57839	LMC510.29.35110	-99.99
OGLE-LMC-HB-0085	RG	05:06:09.64	-67:12:04.5	15.514	16.767	1.253	227.61800000	9110.5000	0.035	0.2240	58.50	77.80	1	-99.99	-99.99	LMC116.5.12988	LMC511.21.19128	-99.99
OGLE-LMC-HB-0086	RG	05:06:09.94	-68:31:52.8	15.630	17.145	1.515	318.22000000	9213.3000	0.024	0.1520	72.00	37.90	1	-99.99	LMC_SC13_121909	LMC118.6.66983	LMC510.21.50887	-99.99
OGLE-LMC-HB-0087	RG	05:06:10.89	-69:50:33.8	15.141	16.897	1.756	394.19000000	9092.2000	0.045	0.1800	46.50	15.50	1	-99.99	LMC_SC12_66110	LMC120.2.38013	LMC509.20.110	EROS2-star lm010-4m-15619
OGLE-LMC-HB-0088	RG	05:06:16.12	-71:05:16.7	15.107	16.622	1.515	278.18800000	9064.7000	0.033	0.2460	52.30	65.00	1	-99.99	-99.99	LMC122.2.73	LMC508.20.53	-99.99
OGLE-LMC-HB-0089	RG	05:06:16.88	-71:14:56.7	15.722	17.176	1.454	300.31300000	9238.7000	0.060	0.2830	68.80	121.20	1	-99.99	-99.99	LMC122.1.59	LMC508.11.12166	OGLE-LMC-ECL-07389
OGLE-LMC-HB-0090	RG	05:06:17.37	-69:39:33.6	15.815	17.273	1.458	241.91900000	9024.4000	0.028	0.1217	66.00	121.50	1	-99.99	LMC_SC12_127079	LMC120.4.128	LMC509.20.33397	-99.99
OGLE-LMC-HB-0091	RG	05:06:32.15	-71:01:22.3	15.436	16.853	1.417	302.97000000	9213.5000	0.020	0.1900	62.00	4.70	1	-99.99	-99.99	LMC122.2.87	LMC508.20.91	-99.99
OGLE-LMC-HB-0092	RG	05:06:33.51	-69:57:20.6	15.571	17.153	1.582	478.94000000	9284.6000	0.040	0.4120	68.10	91.90	1	-99.99	LMC_SC12_114069	LMC120.2.8553	LMC509.11.29072	-99.99
OGLE-LMC-HB-0093	MS	05:06:37.31	-70:33:48.4	14.131	14.253	0.122	19.88353000	9010.5600	0.035	0.3490	13.60	112.00	1	-99.99	-99.99	LMC121.2.7780	LMC508.28.22525	-99.99
OGLE-LMC-HB-0094	RG	05:06:41.30	-69:06:04.1	14.828	16.265	1.437	238.30700000	9009.5000	0.041	0.2467	51.60	36.10	1	-99.99	LMC_SC13_142608	LMC119.3.55461	LMC510.04.57410	-99.99
OGLE-LMC-HB-0095	RG	05:06:45.95	-68:34:09.0	15.863	17.610	1.747	289.61200000	9253.2000	0.058	0.2937	70.30	169.00	1	-99.99	LMC_SC13_183882	LMC118.3.47258	-99.99	-99.99
OGLE-LMC-HB-0096	RG	05:06:57.99	-68:18:24.6	15.319	17.003	1.684	376.97300000	9143.5000	0.066	0.1904	88.70	124.90	1	OSARG	LMC_SC13_270397	LMC117.1.43	LMC510.28.163	2MASS J05065800-6818245
OGLE-LMC-HB-0097	RG	05:06:59.04	-68:03:13.1	15.343	16.845	1.502	323.39000000	9099.8000	0.021	0.2020	63.00	105.50	0	-99.99	-99.99	LMC117.3.16	LMC511.04.75	-99.99
OGLE-LMC-HB-0098	RG	05:07:22.74	-71:43:13.4	15.985	17.459	1.474	382.91000000	9005.9000	0.026	0.4010	50.70	152.80	1	-99.99	-99.99	-99.99	LMC508.02.106	-99.99
OGLE-LMC-HB-0099	RG	05:07:25.69	-71:21:53.0	15.008	16.402	1.394	408.90000000	9188.0000	0.016	0.1670	41.90	154.00	1	-99.99	-99.99	-99.99	LMC508.10.59	-99.99
OGLE-LMC-HB-0100	RG	05:07:38.02	-68:07:20.6	15.137	16.726	1.589	667.55000000	9555.6000	0.034	0.4620	49.10	116.90	0	ECL	-99.99	LMC117.2.38630	LMC510.28.36446	OGLE-LMC-ECL-29660
OGLE-LMC-HB-0101	RG	05:07:42.66	-71:32:27.9	15.019	16.562	1.543	371.68000000	9091.3000	0.072	0.3400	67.70	34.30	1	TEO	-99.99	-99.99	LMC508.02.11427	EROS2-star lm055-7m-6696
OGLE-LMC-HB-0102	RG	05:07:48.74	-69:03:31.3	16.140	17.517	1.377	215.26100000	9003.7000	0.024	0.1940	67.80	162.60	1	-99.99	LMC_SC11_49414	LMC119.4.27179	LMC510.03.54301	-99.99
OGLE-LMC-HB-0103	RG	05:07:57.22	-67:01:51.5	15.386	16.954	1.568	633.27000000	9437.5000	0.028	0.5110	47.80	166.20	1	-99.99	-99.99	LMC115.2.50	LMC511.28.88	-99.99
OGLE-LMC-HB-0104	RG	05:08:01.61	-68:15:03.4	15.917	17.385	1.468	222.03200000	9201.7600	0.064	0.2845	47.37	27.40	1	ECL	-99.99	LMC117.1.45895	LMC510.28.226	-99.99
