# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-DSCT-00052	singlemode	04:38:36.86	-68:54:18.5	19.750	20.201	0.451	0.08546575	0.00000006	7000.00238	0.237	0.376	4.152	0.000	-99.99	-99.99	LMC148.8.1374	LMC539.13.1602	-99.99	
OGLE-LMC-DSCT-00053	singlemode	04:38:38.79	-69:13:21.9	20.209	20.639	0.430	0.08435312	0.00000007	7000.07112	0.244	0.450	3.392	0.000	-99.99	-99.99	LMC149.6.8869	LMC539.05.1901	-99.99	
OGLE-LMC-DSCT-00055	singlemode	04:39:07.76	-70:28:48.0	20.287	20.902	0.615	0.06959883	0.00000005	7000.03911	0.241	0.271	4.564	0.000	-99.99	-99.99	LMC151.2.4014	LMC538.04.3900	-99.99	
OGLE-LMC-DSCT-00057	singlemode	04:39:10.48	-69:38:37.4	19.762	20.166	0.404	0.10216957	0.00000008	7000.08610	0.229	0.244	3.991	0.000	-99.99	-99.99	LMC150.4.1522	LMC538.21.9454	-99.99	
OGLE-LMC-DSCT-00058	singlemode	04:39:13.18	-69:34:35.6	18.887	19.280	0.393	0.05214854	0.00000002	7000.03891	0.340	0.362	3.781	0.125	1.385	-99.99	LMC150.4.639	LMC538.29.968	-99.99	
OGLE-LMC-DSCT-00059	singlemode	04:39:24.70	-70:28:30.6	19.990	20.515	0.525	0.10299273	0.00000019	7000.03824	0.194	0.000	-99.99	0.000	-99.99	-99.99	LMC151.2.1784	LMC538.04.1568	-99.99	
OGLE-LMC-DSCT-00060	singlemode	04:39:54.18	-69:19:52.6	19.641	20.232	0.591	0.09262478	0.00000008	7000.02374	0.162	0.532	4.022	0.000	-99.99	-99.99	LMC149.7.8029	LMC538.28.11115	-99.99	
OGLE-LMC-DSCT-00061	singlemode	04:40:06.39	-70:00:01.1	20.047	20.533	0.486	0.07979769	0.00000007	7000.00689	0.198	0.372	4.009	0.000	-99.99	-99.99	LMC150.1.3234	LMC538.11.10255	-99.99	
OGLE-LMC-DSCT-00062	singlemode	04:40:16.85	-68:36:07.7	20.557	21.021	0.464	0.07578596	0.00000006	7000.01387	0.346	0.410	4.208	0.000	-99.99	-99.99	LMC148.6.8769	LMC539.21.4834	-99.99	
OGLE-LMC-DSCT-00063	singlemode	04:40:17.41	-67:53:40.5	20.103	20.528	0.425	0.10941224	0.00000008	7000.10661	0.307	0.405	3.978	0.000	-99.99	-99.99	LMC147.5.3037	LMC540.05.8087	-99.99	
OGLE-LMC-DSCT-00064	singlemode	04:40:22.35	-68:27:34.3	20.082	20.566	0.484	0.07375113	0.00000007	7000.03743	0.181	0.544	4.047	0.000	-99.99	-99.99	LMC148.5.8727	LMC539.21.9874	-99.99	
OGLE-LMC-DSCT-00065	singlemode	04:40:26.79	-68:46:48.5	20.799	21.077	0.278	0.07652428	0.00000005	7000.00805	0.494	0.440	4.231	0.000	-99.99	-99.99	LMC148.7.10653	LMC539.12.13008	-99.99	
OGLE-LMC-DSCT-00067	singlemode	04:40:54.50	-68:53:35.8	20.440	20.828	0.388	0.08188603	0.00000008	7000.06225	0.326	0.286	3.746	0.000	-99.99	-99.99	LMC148.8.10885	LMC539.12.2073	-99.99	
OGLE-LMC-DSCT-00068	singlemode	04:40:55.73	-67:03:08.2	19.223	19.613	0.390	0.11685489	0.00000015	7000.03287	0.092	0.000	-99.99	0.000	-99.99	-99.99	LMC145.8.644	LMC540.30.718	-99.99	
OGLE-LMC-DSCT-00069	singlemode	04:41:02.95	-67:13:14.8	20.363	20.708	0.345	0.08906131	0.00000006	7000.08370	0.388	0.586	4.286	0.000	-99.99	-99.99	LMC146.5.2181	LMC540.22.5400	-99.99	
OGLE-LMC-DSCT-00070	singlemode	04:41:13.48	-70:30:36.1	20.220	20.826	0.606	0.06895269	0.00000005	7000.03784	0.291	0.365	3.925	0.266	2.329	-99.99	LMC144.7.2115	LMC538.03.2842	-99.99	
OGLE-LMC-DSCT-00071	singlemode	04:41:13.98	-68:36:24.2	20.188	20.680	0.492	0.08525364	0.00000007	7000.07751	0.287	0.572	4.206	0.345	2.110	-99.99	LMC148.3.2726	LMC539.21.4686	-99.99	
OGLE-LMC-DSCT-00072	singlemode	04:41:19.52	-69:13:53.6	19.981	20.470	0.489	0.07904951	0.00000006	7000.04560	0.262	0.251	4.430	0.000	-99.99	-99.99	LMC149.3.5214	LMC539.04.2157	-99.99	
OGLE-LMC-DSCT-00073	singlemode	04:41:21.55	-69:47:45.0	19.204	19.757	0.553	0.07853810	0.00000004	7000.07722	0.152	0.377	3.781	0.181	1.474	-99.99	LMC150.3.8933	LMC538.19.1533	-99.99	
OGLE-LMC-DSCT-00075	singlemode	04:41:53.59	-68:41:36.7	20.486	20.774	0.288	0.07571681	0.00000006	7000.06588	0.289	0.875	2.992	0.000	-99.99	-99.99	LMC148.2.4278	LMC539.11.16839	-99.99	
OGLE-LMC-DSCT-00076	singlemode	04:42:15.27	-68:19:55.7	20.430	20.845	0.415	0.06349296	0.00000005	7000.05931	0.297	0.289	4.393	0.000	-99.99	-99.99	LMC147.1.2573	LMC539.28.1560	-99.99	
OGLE-LMC-DSCT-00077	singlemode	04:42:28.15	-69:35:27.2	20.492	21.123	0.631	0.06522346	0.00000008	7000.01691	0.279	0.566	3.832	0.000	-99.99	-99.99	LMC143.5.2887	LMC538.27.3347	-99.99	
OGLE-LMC-DSCT-00078	multimode	04:42:31.09	-66:51:11.1	16.981	17.469	0.488	0.05309540	0.00000002	7000.04793	0.065	0.185	4.267	0.098	1.521	-99.99	LMC145.6.3418	LMC540.29.4289	-99.99	
OGLE-LMC-DSCT-00079	singlemode	04:42:36.10	-68:15:23.6	20.660	21.014	0.354	0.07026801	0.00000005	7000.05048	0.325	0.502	3.761	0.000	-99.99	-99.99	LMC147.1.3276	LMC539.28.6219	-99.99	
OGLE-LMC-DSCT-00080	singlemode	04:42:51.20	-67:12:56.7	20.624	21.015	0.391	0.07754335	0.00000006	7000.03391	0.386	0.489	4.471	0.000	-99.99	-99.99	LMC146.5.6821	LMC540.21.7330	-99.99	
OGLE-LMC-DSCT-00081	singlemode	04:43:10.65	-68:30:33.9	20.209	-99.99	-99.99	0.07668818	0.00000021	7000.07110	0.255	0.000	-99.99	0.000	-99.99	-99.99	LMC148.3.11055	LMC539.19.3835D	-99.99	
