# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-T2CEP-061	BLHer	05:12:30.42	-69:07:16.2	18.037	18.571	0.534	1.1815125	0.0000020	7000.41723	0.393	0.202	4.519	0.078	3.352	LMC_SC9_52800	LMC111.6.78508	LMC503.25.28930	-99.99	
OGLE-LMC-T2CEP-062	WVir	05:13:19.11	-69:38:57.6	17.366	18.499	1.133	6.0489818	0.0001614	7002.43780	0.102	0.118	5.657	0.000	-99.99	-99.99	LMC112.4.366	LMC503.07.79287	-99.99	
OGLE-LMC-T2CEP-063	WVir	05:13:43.85	-69:50:41.1	16.672	17.564	0.892	6.9228567	0.0001428	7005.52755	0.128	0.147	0.087	0.034	0.622	-99.99	LMC112.2.56955	LMC503.07.10126	-99.99	
OGLE-LMC-T2CEP-064	BLHer	05:13:55.88	-68:37:52.1	17.510	18.182	0.672	2.1278700	0.0000025	7001.60610	0.597	0.247	5.215	0.123	3.552	-99.99	LMC110.3.8878	LMC504.07.38735	-99.99	
OGLE-LMC-T2CEP-065	RVTau	05:14:00.75	-68:57:56.6	14.697	15.594	0.897	35.6308078	0.0108293	7023.03425	0.129	0.110	1.469	0.082	5.376	-99.99	LMC111.4.56636	LMC503.32.28	-99.99	
OGLE-LMC-T2CEP-066	WVir	05:14:06.05	-67:12:21.6	16.099	17.061	0.962	13.0618438	0.0005136	7000.73212	0.433	0.137	1.989	0.054	2.416	-99.99	LMC108.4.215	LMC505.07.16111	-99.99	
OGLE-LMC-T2CEP-067	RVTau	05:14:18.12	-69:12:34.9	13.855	14.603	0.748	48.5802424	0.0187093	7019.18920	0.305	0.140	4.189	0.051	1.055	-99.99	LMC111.3.23099	LMC503.24.13127	LMV44 HV915	
OGLE-LMC-T2CEP-068	BLHer	05:14:27.06	-68:58:01.9	17.692	18.263	0.571	1.6093051	0.0000028	7001.55285	0.422	0.230	4.945	0.111	1.276	LMC_SC9_264013	LMC111.4.67012	LMC503.32.445	-99.99	
OGLE-LMC-T2CEP-069	BLHer	05:14:56.77	-69:40:22.4	18.584	18.944	0.360	1.0215831	0.0000025	7000.10009	0.421	0.307	5.536	0.105	4.683	-99.99	LMC112.4.28478	LMC503.06.91357	-99.99	
OGLE-LMC-T2CEP-070	WVir	05:14:57.74	-66:40:12.9	15.652	16.574	0.922	15.4373946	0.0001478	7003.16142	0.874	0.207	6.189	0.084	3.804	-99.99	LMC107.4.15280	LMC505.24.13606	HV13065	
OGLE-LMC-T2CEP-071	BLHer	05:15:08.64	-68:54:53.5	17.899	18.366	0.467	1.1521741	0.0000012	7000.60350	0.611	0.325	4.619	0.100	2.630	LMC_SC8_82008	LMC110.1.23130	LMC503.31.43895	-99.99	
OGLE-LMC-T2CEP-072	WVir	05:15:24.43	-66:58:53.3	15.873	16.852	0.979	14.5731552	0.0006966	7012.16013	0.437	0.065	2.401	0.049	3.175	-99.99	LMC107.2.14303	LMC505.14.13495	-99.99	
OGLE-LMC-T2CEP-073	BLHer	05:15:34.94	-67:20:42.8	17.159	17.947	0.788	3.0879107	0.0000043	7001.01876	0.614	0.283	5.421	0.136	4.498	-99.99	LMC108.3.17983	LMC505.06.368	-99.99	
OGLE-LMC-T2CEP-074	WVir	05:15:48.75	-68:48:48.1	16.076	16.919	0.843	8.9744380	0.0005058	7003.99829	0.174	0.127	1.316	0.098	5.429	-99.99	LMC101.8.50510	LMC503.31.24481	-99.99	
OGLE-LMC-T2CEP-075	RVTau	05:16:16.07	-69:43:36.8	14.550	15.621	1.071	49.6083421	0.0184493	7022.84712	0.735	0.196	5.773	0.015	5.283	-99.99	LMC103.6.53296	LMC503.06.25331	HV925	
OGLE-LMC-T2CEP-076	BLHer	05:16:17.45	-68:14:10.5	17.823	18.587	0.764	2.1041275	0.0000026	7000.48879	0.684	0.304	5.159	0.177	3.245	-99.99	LMC102.8.857	LMC504.14.6379	-99.99	
OGLE-LMC-T2CEP-077	BLHer	05:16:21.45	-69:36:59.2	17.758	-99.99	-99.99	1.2138023	0.0000020	7000.50634	0.211	0.173	4.653	0.000	-99.99	LMC_SC8_194670	LMC103.5.1047	LMC503.13.2611D	-99.99	type II Cepheid in an eclipsing binary system (P_orb = 34.621 d)
OGLE-LMC-T2CEP-078	pWVir	05:16:29.10	-69:24:09.0	16.281	17.270	0.989	6.7194746	0.0001007	7004.51051	0.182	0.250	5.069	0.026	4.098	LMC_SC8_218916	LMC100.8.72375	LMC503.13.103793	-99.99	
OGLE-LMC-T2CEP-079	WVir	05:16:35.67	-68:21:01.2	16.315	17.420	1.105	14.8539677	0.0002471	7008.70012	0.829	0.107	1.169	0.100	2.489	-99.99	LMC101.5.28691	LMC504.13.22304	-99.99	
OGLE-LMC-T2CEP-080	RVTau	05:16:47.43	-69:44:15.1	14.331	15.161	0.830	40.9191086	0.0086071	7019.54747	0.703	0.173	5.971	0.044	0.104	-99.99	LMC103.6.64992	LMC503.05.83604	HV2423	
OGLE-LMC-T2CEP-081	WVir	05:16:51.39	-71:44:15.1	16.283	17.199	0.916	9.4709257	0.0002243	7008.68493	0.204	0.120	1.285	0.046	1.391	-99.99	LMC106.7.172	LMC501.22.12332	-99.99	
OGLE-LMC-T2CEP-082	RVTau	05:16:55.33	-71:41:41.5	15.004	16.125	1.121	35.5283834	0.0066269	7013.98220	0.582	0.044	5.749	0.047	1.471	-99.99	LMC106.7.74	LMC501.22.14816	-99.99	
OGLE-LMC-T2CEP-083	pWVir	05:16:59.00	-69:51:19.2	16.518	17.302	0.784	5.9699568	0.0000392	7001.89952	0.532	0.154	5.415	0.029	3.752	-99.99	LMC103.7.54156	LMC503.05.70164	-99.99	
OGLE-LMC-T2CEP-084	BLHer	05:17:07.51	-69:27:34.1	17.493	17.823	0.330	1.7703052	0.0000037	7000.59946	0.390	0.347	5.246	0.143	3.960	LMC_SC8_306227	LMC100.8.93186	LMC503.13.87831	-99.99	type II Cepheid in an eclipsing binary system (P_orb = 52.351 d)
OGLE-LMC-T2CEP-085	BLHer	05:18:12.86	-71:17:15.4	17.148	17.921	0.773	3.4051533	0.0000077	7002.74054	0.558	0.290	5.601	0.149	4.824	-99.99	LMC105.8.11987	LMC501.29.22964	-99.99	
OGLE-LMC-T2CEP-086	WVir	05:18:17.80	-69:43:27.7	15.648	16.482	0.834	15.8447242	0.0001280	7013.50921	0.900	0.126	0.091	0.061	3.624	LMC_SC7_134411	LMC103.6.93417	LMC503.04.92418	-99.99	
OGLE-LMC-T2CEP-087	WVir	05:18:21.65	-69:40:45.2	16.900	17.779	0.879	5.1854383	0.0000282	7003.32931	0.316	0.225	5.855	0.070	5.644	-99.99	LMC103.5.47455	LMC503.04.109713	-99.99	
OGLE-LMC-T2CEP-088	BLHer	05:18:33.58	-70:50:19.2	17.200	-99.99	-99.99	1.9508524	0.0001366	7001.43132	0.069	0.000	-99.99	0.140	3.237	-99.99	LMC105.5.18100	LMC502.12.464D	-99.99	
OGLE-LMC-T2CEP-089	BLHer	05:18:35.73	-69:45:45.7	18.024	18.482	0.458	1.1673093	0.0000017	7000.72559	0.477	0.220	4.600	0.091	3.394	LMC_SC7_127752	LMC103.6.39466	LMC503.04.93177	-99.99	
