# ID	RA	Decl	I	V	V_I	pr_pl	P	tc	mstar	rstar	logg	teff	feh	distance	rp	mp	a	ideg	teq	delta	tau	t14	b	T0	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV
OGLE-TR-1055	05:40:27.30	-29:11:27.7	14.919	16.8	1.881	0.95	2.1042324688	5503.952068469	0.9806	2.8825	3.51	5032.37	-0.52	1615.53	1.028	72.1909	0.032658	73.266	2279.81	0.001343	0.0155216	0.22324	0.701	6882.224335508	BUL_SC34.808988	BLG104.5.226533	BLG505.19.189760
OGLE-TR-1056	05:43:56.10	-28:53:03.8	14.913	16.686	1.773	0.94	7.7213269696	5262.1032450264	1.0962	2.5372	3.669	4613.07	0.56	1690.68	1.168	1.6673	0.078868	82.297	1261.69	0.00224	0.0406265	0.2015	0.896	6103.7278847112	-99.99	-99.99	BLG505.27.115614
OGLE-TR-1057	05:46:16.80	-28:29:51.9	15.245	17.114	1.869	1	5.8545418448	5378.9817873258	0.763	3.5828	3.212	5964.21	-3.62	4499.56	2.455	0.414	0.058101	88.895	2258.44	0.004956	0.0393662	0.58036	0.067	6374.2539009391	-99.99	BLG215.8.133920	BLG504.02.70296
OGLE-TR-1058	05:48:40.35	-27:44:55.6	14.806	16.222	1.416	0.94	17.4107261948	5382.0419120942	1.7172	2.8606	3.76	6235.77	0.24	2533.24	1.415	123.817	0.160962	87.23	1267.62	0.002583	0.0288208	0.40074	0.585	6757.4892814839	-99.99	BLG223.7.148038	BLG504.19.38476
OGLE-TR-1059	05:51:13.05	-28:01:37.4	15.412	16.726	1.314	0.97	7.2082401629	5377.8467072416	1.1459	1.5892	4.095	6052.19	-0.08	1551.78	1.232	3.8046	0.076501	88.616	1330.14	0.006346	0.018327	0.23327	0.25	6963.6595430886	-99.99	BLG215.5.125956	BLG504.09.205165
OGLE-TR-1060	05:51:48.00	-28:00:26.8	15.307	16.677	1.37	1	12.8317589403	5386.0130644366	1.5311	1.5659	4.234	6660.94	0.41	1936.59	1.848	0.4065	0.123641	89.446	1143.04	0.014708	0.0296328	0.26703	0.164	7015.6464498546	-99.99	BLG215.5.178340	BLG504.09.212265
OGLE-TR-1061	05:52:38.10	-27:23:20.3	14.119	14.767	0.648	1	2.6528604818	5376.6303799981	1.9642	1.8447	4.199	8165.76	0.21	2123.93	1.71	0.414	0.046972	88.826	2467.61	0.009079	0.0150433	0.1692	0.112	6779.9935748479	-99.99	BLG232.8.31369	BLG504.26.141626
OGLE-TR-1062	05:56:01.50	-28:05:53.7	15.152	16.495	1.343	1	16.527414685	5383.9073870676	1.0698	1.5824	4.069	5889.96	0.2	1752.47	1.078	57.5379	0.132055	89.569	983.16	0.004902	0.0207489	0.31137	0.135	6788.7376352954	-99.99	BLG215.5.85774	BLG504.09.85898
OGLE-TR-1063	05:57:50.55	-29:17:22.5	14.703	15.56	0.857	1	3.5835181351	5261.3901772955	1.5395	1.535	4.253	6998.01	0.07	1532.89	1.548	0.414	0.052922	87.18	1817.38	0.010734	0.017295	0.16099	0.365	6773.6348303263	BUL_SC21.215	BLG104.4.33183	BLG505.09.82929
OGLE-TR-1064	06:00:03.90	-29:15:02.6	15.472	16.582	1.11	0.99	0.6700141402	5286.4331685719	0.7464	1.97	3.722	5029.96	-1.42	2273.5	1.231	2.8292	0.013609	51.37	2918.15	0.004122	0.0382333	0.09949	0.927	6950.7482928359	BUL_SC21.15840	BLG104.4.106272	BLG505.09.37405
OGLE-TR-1065	06:04:27.30	-28:49:53.7	15.463	17.413	1.95	1	4.9671386127	5380.689835473	1.1148	1.9711	3.896	4377.57	0.17	1414.78	1.044	72.1294	0.060268	83.842	1207.2	0.002964	0.0187396	0.19005	0.705	6965.2070529256	BUL_SC21.353711	BLG206.3.90618	BLG512.16.71485
OGLE-TR-1066	06:06:05.10	-28:20:56.8	15.257	16.412	1.155	0.84	10.0330097644	5386.2027935167	1.0733	3.7593	3.319	4921.95	-0.21	4369.19	1.721	154.744	0.097304	88.141	1475.22	0.002214	0.0279031	0.59554	0.181	6529.9659066545	-99.99	BLG215.2.142590	BLG512.25.94231
OGLE-TR-1067	06:15:36.90	-29:09:54.7	14.744	16.651	1.907	0.94	2.5731721608	5376.7314795326	1.0459	5.8541	2.923	4522.51	0.3	2883.76	2.813	270.311	0.040148	50.733	2633.35	0.002439	0.11266	0.35504	0.933	6992.6835965295	BUL_SC30.23089	BLG105.5.211371	BLG512.07.57811
OGLE-TR-1068	06:17:56.10	-28:53:43.1	12.8	13.359	0.559	1	0.6858733797	5376.9437798248	1.617	2.2935	3.926	6706.51	-0.01	1486.43	1.733	155.804	0.018397	58.04	3610.87	0.006032	0.0340963	0.08777	0.913	7091.6272291611	BUL_SC30.271873	BLG206.2.273470	BLG512.15.18
OGLE-TR-1069	06:19:00.45	-28:25:46.1	15.339	16.611	1.272	1	10.6053566366	5383.6800871789	0.7696	2.4663	3.54	5995.73	-4.01	3029.91	3.025	0.4123	0.086585	89.794	1543.02	0.015891	0.0568945	0.50527	0.027	7101.7478623004	-99.99	BLG215.2.51610	BLG512.24.27253
OGLE-TR-1070	06:19:21.00	-28:30:28.0	15.4	16.324	0.924	0.81	1.7293837894	5380.2334673065	1.0602	1.1691	4.328	5681.24	0.17	1780.06	1.364	0.3793	0.028755	87.613	1746.82	0.014379	0.0130368	0.11523	0.22	7009.3129968746	-99.99	BLG215.1.170018	BLG512.24.12879
OGLE-TR-1071	06:19:25.35	-28:48:23.4	15.424	17.366	1.942	1	4.2670322314	5383.1378595224	1.4491	6.9648	2.913	4412.24	0.53	4932.3	4.359	444.312	0.063467	62.35	2228.81	0.004137	0.133751	0.44046	0.909	6987.5419785324	BUL_SC30.299284	BLG207.6.66715	BLG512.15.12912
OGLE-TR-1072	06:20:13.50	-28:26:24.4	15.112	16.169	1.057	1	1.6133903433	5377.4962396082	0.9331	1.1275	4.304	5828.59	-0.17	1413.15	0.987	69.4032	0.026916	84.626	1819.09	0.008094	0.0104825	0.09891	0.481	6915.0572367278	-99.99	BLG215.1.231578	BLG512.23.200958
OGLE-TR-1073	06:22:09.60	-28:25:28.0	15.283	17.176	1.893	1	6.9233145231	5380.855715395	1.1436	6.7031	2.844	4425.93	0.1	4295.72	3.258	319.24	0.080433	69.198	1948.31	0.002495	0.12117	0.47188	0.916	7125.5309752063	-99.99	BLG215.2.59737	BLG512.23.201052
OGLE-TR-1074	06:26:36.30	-28:00:52.9	15.167	16.364	1.197	0.92	0.7182063755	5376.8779986268	1.7265	2.3487	3.934	6414.38	0.28	3005.38	1.295	0.4511	0.01883	57.389	3454.39	0.00321	0.0275775	0.0809	0.929	6956.9320247755	-99.99	BLG216.5.199817	BLG512.31.97610
OGLE-TR-1075	06:26:58.05	-28:01:19.6	15.297	16.49	1.193	1	30.5556639369	5390.5416463614	0.7728	1.5322	3.955	6589.26	-4.26	2172.86	1.876	0.4134	0.175556	89.705	938.699	0.015838	0.0501366	0.44178	0.127	6887.7691792706	-99.99	BLG216.5.199843	BLG512.31.90527
OGLE-TR-1076	06:29:58.65	-28:46:32.9	15.057	16.128	1.071	1	5.7855333098	5380.232983157	0.6017	1.5542	3.834	5262.05	-3.38	1613.12	1.835	0.414	0.053259	89.86	1370.69	0.014714	0.0306042	0.28129	0.018	7029.109976464	BUL_SC31.60417	BLG207.6.168007	BLG512.14.20705
OGLE-TR-1077	06:30:29.70	-28:43:15.8	14.606	15.541	0.935	0.99	14.4083935332	5381.5249098642	1.3051	1.5039	4.199	6292.21	-0.03	1692.24	1.009	31.3592	0.127598	88.077	1041.64	0.004757	0.0220097	0.22051	0.612	6534.1963925166	-99.99	BLG207.5.31697	BLG512.13.200527
OGLE-TR-1078	06:34:08.10	-29:05:43.6	14.7	15.665	0.965	1	4.3297068458	5377.628527659	1.5064	1.9156	4.051	5212.79	-0.17	2001.07	1.59	0.414	0.059601	88.991	1425.04	0.007271	0.017891	0.22325	0.118	6957.9715263662	-99.99	BLG207.8.170019	BLG512.05.128353
OGLE-TR-1079	06:41:11.55	-28:48:25.6	15.351	17.201	1.85	1	13.4504193326	5381.4450384565	0.4873	3.5125	3.035	4077.91	-0.22	2438.6	2.077	191.578	0.096865	82.238	1184.12	0.003693	0.075039	0.50804	0.801	6847.5407457142	BUL_SC31.645622	BLG207.3.66683	BLG512.12.190769
OGLE-TR-1080	06:42:33.15	-28:21:44.1	14.871	16.122	1.251	1	4.7576935809	5377.9398427694	1.5862	2.0761	4.004	6254.88	0.46	2290.43	1.361	0.4026	0.064569	87.571	1710.29	0.004535	0.0160871	0.23417	0.283	6967.0094987894	-99.99	BLG216.2.127623	BLG512.21.216907
OGLE-TR-1081	06:48:30.00	-28:27:14.8	14.978	15.934	0.956	1	6.4069384637	5377.5166545035	1.1116	1.4135	4.183	5880.83	0.16	1858.27	1.077	25.8973	0.070448	87.002	1270.22	0.006136	0.0181165	0.17574	0.561	7107.3900397001	BUL_SC32.346529	BLG216.1.191792	BLG512.21.86484
OGLE-TR-1082	06:48:48.90	-28:45:00.7	15.398	17.377	1.979	1	3.4036312923	5379.0094358888	1.0257	3.1393	3.455	4641.81	0.58	2569.57	1.895	0.4114	0.044664	89.769	1876.54	0.003847	0.0232447	0.38407	0.012	7067.2105568657	BUL_SC32.280235	BLG207.3.222600	BLG512.12.87494
OGLE-TR-1083	06:48:50.40	-28:24:25.6	15.057	16.084	1.027	1	5.4100836436	5380.634905336	1.0743	1.0952	4.39	5569.3	0.33	1385.41	1.073	19.5408	0.062125	87.774	1127.57	0.010138	0.0162273	0.14053	0.474	6933.32891106	BUL_SC32.346868	BLG216.2.15662	BLG512.21.94254
